rok,kraj,strana_cislo,strana_nazev,kandidat_cislo,kandidat,kandidat_vek,navrhujici_strana,prislusnost,prednostni_hlasy_abs,prednostni_hlasy_pct,mandat,poradi
2013,Jihočeský kraj,6,ODS,17,Váňa Jan PaedDr.,57,ODS,ODS,750,2.98,-,16
2013,Jihočeský kraj,18,DSSS,2,Vaňata Jindřich,69,DSSS,BEZPP,44,1.6,-,NA
2013,Jihočeský kraj,18,DSSS,21,Vaňata Vladimír MUDr.,91,DSSS,BEZPP,35,1.27,-,NA
2013,Jihočeský kraj,20,ANO 2011,22,Vaněčková Jana Ing.,32,ANO 2011,BEZPP,761,1.44,-,20
2013,Jihočeský kraj,17,Úsvit,20,Vašek Lukáš,25,Úsvit,BEZPP,174,0.79,-,19
2013,Jihočeský kraj,13,Suveren.,9,Vaváčková Ivana,49,Suveren.,BEZPP,30,3.31,-,NA
2013,Jihočeský kraj,18,DSSS,12,Vávra Lukáš,30,DSSS,DSSS,61,2.22,-,NA
2013,Jihočeský kraj,1,ČSSD,20,Vejskrab Rudolf,61,ČSSD,ČSSD,545,0.84,-,17
2013,Jihočeský kraj,1,ČSSD,11,Veselý Ondřej JUDr.,37,ČSSD,ČSSD,2223,3.44,-,8
2013,Jihočeský kraj,20,ANO 2011,7,Vituj Zdeněk,39,ANO 2011,ANO 2011,1033,1.95,-,5
2013,Jihočeský kraj,3,Piráti,8,Vlasatý Ivo,22,Piráti,Piráti,190,2.57,-,NA
2013,Jihočeský kraj,11,KDU-ČSL,4,Vodička Rudolf Mgr.,53,KDU-ČSL,KDU-ČSL,1036,4.99,-,6
2013,Jihočeský kraj,1,ČSSD,15,Vochoska Josef Bc.,48,ČSSD,ČSSD,529,0.81,-,12
2013,Jihočeský kraj,5,HLVZHŮRU,14,Voldřich Jan,56,HLVZHŮRU,"""JIH 12""",17,0.98,-,NA
2013,Jihočeský kraj,4,TOP 09,22,Vostradovský Václav,42,TOP 09,STAN,814,2.04,-,20
2013,Jihočeský kraj,10,SsČR,4,Vrána František Ing.,56,SsČR,SsČR,17,1.46,-,NA
2013,Jihočeský kraj,22,LEV 21,6,Vrátný Jan,39,LEV 21,LEV 21,2,1.1,-,NA
2013,Jihočeský kraj,18,DSSS,18,Vrbka Radek,46,DSSS,DSSS,39,1.42,-,NA
2013,Jihočeský kraj,10,SsČR,11,Vyhnálková Zuzana PhDr.,51,SsČR,BEZPP,27,2.32,-,NA
2013,Jihočeský kraj,21,KSČM,8,Vykusová Blanka Ing. CSc.,55,KSČM,BEZPP,714,1.39,-,6
2013,Jihočeský kraj,21,KSČM,22,Vytiska Tomeš JUDr.,58,KSČM,KSČM,1460,2.85,-,20
2013,Jihočeský kraj,5,HLVZHŮRU,18,Záhora Martin,25,HLVZHŮRU,BEZPP,25,1.44,-,NA
2013,Jihočeský kraj,6,ODS,11,Zahradník Jan RNDr.,64,ODS,ODS,5461,21.69,*,1
2013,Jihočeský kraj,11,KDU-ČSL,2,Zasadil Jan Ing.,56,KDU-ČSL,KDU-ČSL,1663,8.01,-,3
2013,Jihočeský kraj,23,SZ,20,Zavadil Vít,40,SZ,SZ,66,0.86,-,NA
2013,Jihočeský kraj,6,ODS,15,Zedník Jan Ing. MBA,26,ODS,ODS,735,2.92,-,14
2013,Jihočeský kraj,11,KDU-ČSL,21,Zíka Miroslav,47,KDU-ČSL,KDU-ČSL,39,0.18,-,20
2013,Jihočeský kraj,11,KDU-ČSL,5,Zikmundová Jitka Ing. MBA,43,KDU-ČSL,BEZPP,790,3.8,-,7
2013,Jihočeský kraj,1,ČSSD,1,Zimola Jiří Mgr.,42,ČSSD,ČSSD,9996,15.48,*,1
2013,Jihočeský kraj,5,HLVZHŮRU,7,Zoufalá Jana,45,HLVZHŮRU,"""JIH 12""",79,4.56,-,NA
2013,Jihočeský kraj,6,ODS,3,Zvěřina Jaroslav doc. MUDr. CSc.,70,ODS,ODS,3299,13.1,-,2
2013,Plzeňský kraj,15,SPOZ,11,Ajglová Jana Ing.,49,SPOZ,SPOZ,80,3.17,-,NA
2013,Plzeňský kraj,5,HLVZHŮRU,6,Anderle Jiří,44,HLVZHŮRU,DSZ,85,8.07,-,NA
2013,Plzeňský kraj,22,LEV 21,4,André Roman,43,LEV 21,LEV 21,17,4.89,-,NA
2013,Plzeňský kraj,11,KDU-ČSL,10,Antoš Stanislav Bc.,46,KDU-ČSL,KDU-ČSL,355,2.77,-,NA
2013,Plzeňský kraj,13,Suveren.,16,Babíková Božena,54,Suveren.,BEZPP,6,0.71,-,NA
2013,Plzeňský kraj,9,Změna,7,Baierl Petr Mgr.,42,Změna,BEZPP,34,2.3,-,NA
2013,Plzeňský kraj,17,Úsvit,6,Bakala Roman,39,Úsvit,BEZPP,539,3.67,-,NA
2013,Plzeňský kraj,10,SsČR,18,Balog Dezider,51,SsČR,BEZPP,6,0.66,-,NA
2013,Plzeňský kraj,23,SZ,19,Barochová Jana,32,SZ,SZ,65,1.07,-,NA
2013,Plzeňský kraj,17,Úsvit,1,Bárta Vít JUDr.,39,Úsvit,VV,1460,9.95,-,NA
2013,Plzeňský kraj,3,Piráti,20,Bartoň Lukáš Ing. Ph.D.,32,Piráti,Piráti,211,2.5,-,NA
2013,Plzeňský kraj,1,ČSSD,13,Baum Josef Mgr.,67,ČSSD,ČSSD,542,0.94,-,10
2013,Plzeňský kraj,5,HLVZHŮRU,1,Baumruk Jiří PaedDr.,57,HLVZHŮRU,BEZPP,51,4.84,-,NA
2013,Plzeňský kraj,17,Úsvit,20,Bayerová Lydie,59,Úsvit,VV,200,1.36,-,NA
2013,Plzeňský kraj,18,DSSS,7,Bednář Jan,37,DSSS,DSSS,45,1.73,-,NA
2013,Plzeňský kraj,21,KSČM,7,Beneš Jan,28,KSČM,KSČM,829,1.99,-,5
2013,Plzeňský kraj,4,TOP 09,3,Blažek Vítězslav Ing.,60,TOP 09,STAN,975,3.28,-,3
2013,Plzeňský kraj,10,SsČR,5,Bořík Tomáš,22,SsČR,SsČR,10,1.1,-,NA
2013,Plzeňský kraj,3,Piráti,9,Bouček Václav Ing.,28,Piráti,Piráti,153,1.81,-,NA
2013,Plzeňský kraj,3,Piráti,6,Bouřa Evžen Mgr. et Mgr. Ph.D.,33,Piráti,Piráti,267,3.17,-,NA
2013,Plzeňský kraj,5,HLVZHŮRU,17,Bouzková Lada,39,HLVZHŮRU,BEZPP,21,1.99,-,NA
2013,Plzeňský kraj,9,Změna,5,Brabec Jan Mgr.,31,Změna,BEZPP,56,3.79,-,NA
2013,Plzeňský kraj,23,SZ,11,Brabec Lubor,45,SZ,BEZPP,78,1.29,-,NA
2013,Plzeňský kraj,24,KČ,3,Brachtel Oto,56,KČ,KČ,15,2.17,-,NA
2013,Plzeňský kraj,10,SsČR,16,Bránský Jiří Ing.,54,SsČR,BEZPP,10,1.1,-,NA
2013,Plzeňský kraj,20,ANO 2011,20,Brojová Jindra Mgr.,57,ANO 2011,ANO 2011,372,0.76,-,17
2013,Plzeňský kraj,4,TOP 09,11,Brotánek Miloslav Ing.,43,TOP 09,TOP 09,240,0.8,-,9
2013,Plzeňský kraj,9,Změna,6,Brůhová Soňa Mgr.,44,Změna,BEZPP,42,2.84,-,NA
2013,Plzeňský kraj,9,Změna,12,Budínská Běla,47,Změna,BEZPP,20,1.35,-,NA
2013,Plzeňský kraj,1,ČSSD,7,Budková Světlana Bc.,32,ČSSD,ČSSD,1236,2.16,-,4
2013,Plzeňský kraj,5,HLVZHŮRU,11,Burda František,56,HLVZHŮRU,BEZPP,17,1.61,-,NA
